Gender,Age,Height (inches),Weight (lbs),How would you describe your weight?,,
Female,17,67,130,About the right weight,,
Male,19,73,190,About the right weight,,
Male,19,65,160,Slightly overweight,,
Female,18,62,105,About the right weight,,
Female,19,65,130,About the right weight,,
Female,15,67,130,Slightly overweight,,
Female,17,67,130,About the right weight,,
Male,16,72,180,About the right weight,,
Male,19,70,155,About the right weight,,
Female,16,64,100,Slightly underweight,,
Male,19,65,140,About the right weight,,
Female,18,64,118,About the right weight,,
Male,17,69,140,Slightly underweight,,
Female,15,66,123,Slightly underweight,,
Female,19,68,230,Very overweight,,
Female,18,62,125,About the right weight,,
Female,16,63,130,Slightly overweight,,
Male,16,70,150,About the right weight,,
Female,15,62,120,About the right weight,,
Female,16,64,126,About the right weight,,
